,Submarket,Housing_Type,Cluster
457,Mecklenburg County 24 (NC), Single Family,3
458,Mecklenburg County 15 (NC), Single Family,3
459,Mecklenburg County 26 (NC), Single Family,3
460,Mecklenburg County 15 (NC), Single Family,3
461,Mecklenburg County 4 (NC), Single Family,3
462,Mecklenburg County 34 (NC), Single Family,3
463,Mecklenburg County 29 (NC), Single Family,1
464,Mecklenburg County 30 (NC), Single Family,3
465,Charlotte, Condominium,4
466,Mecklenburg County 4 (NC), Single Family,3
467,Mecklenburg County 34 (NC), Townhouse,1
468,Mecklenburg County 28 (NC), Single Family,3
469,Mecklenburg County 6 (NC), Condominium,4
470,Mecklenburg County 11 (NC), Townhouse,1
471,Mecklenburg County 11 (NC), Townhouse,1
472,Mecklenburg County 7 (NC), Single Family,3
473,Pineville, Single Family,3
474,Pineville, Single Family,3
475,Mecklenburg County 36 (NC), Single Family,3
476,Mecklenburg County 36 (NC), Single Family,3
477,Mecklenburg County 7 (NC), Single Family,3
478,Mecklenburg County 7 (NC), Single Family,3
479,Mecklenburg County 18 (NC), Single Family,3
480,Mecklenburg County 34 (NC), Single Family,3
481,Matthews, Single Family,3
482,Cornelius, Townhouse,4
483,Mecklenburg County 8 (NC), Single Family,3
484,Mecklenburg County 11 (NC), Single Family,3
485,Mecklenburg County 34 (NC), Single Family,3
486,Mecklenburg County 6 (NC), Single Family,3
487,Mecklenburg County 9 (NC), Single Family,3
488,Mecklenburg County 6 (NC), Single Family,3
489,Mecklenburg County 13 (NC), Townhouse,1
490,Huntersville, Single Family,2
491,Huntersville, Single Family,2
492,Charlotte, Condominium,4
493,Charlotte, Condominium,4
494,Mecklenburg County 36 (NC), Single Family,3
495,Mecklenburg County 28 (NC), Single Family,3
496,Mecklenburg County 28 (NC), Single Family,3
497,Mecklenburg County 24 (NC), Townhouse,1
498,Mecklenburg County 22 (NC), Townhouse,1
499,Mecklenburg County 22 (NC), Townhouse,1
500,Mecklenburg County 28 (NC), Single Family,3
501,Mecklenburg County 26 (NC), Single Family,3
502,Mecklenburg County 34 (NC), Single Family,3
503,Mecklenburg County 36 (NC), Townhouse,1
504,Mecklenburg County 26 (NC), Single Family,3
505,Mecklenburg County 2 (NC), Single Family,3
506,Huntersville, Single Family,2
507,Mecklenburg County 21 (NC), Single Family,3
508,Mecklenburg County 21 (NC), Single Family,3
509,Mecklenburg County 21 (NC), Single Family,3
510,Mecklenburg County 28 (NC), Single Family,3
511,Cornelius, Single Family,4
512,Mecklenburg County 21 (NC), Townhouse,1
513,Mecklenburg County 15 (NC), Townhouse,1
514,Mecklenburg County 29 (NC), Single Family,1
515,Mecklenburg County 29 (NC), Single Family,1
516,Mecklenburg County 28 (NC), Single Family,3
517,Mecklenburg County 28 (NC), Single Family,3
518,Mecklenburg County 27 (NC), Single Family,3
519,Mecklenburg County 28 (NC), Single Family,3
520,Cornelius, Townhouse,4
521,Mecklenburg County 26 (NC), Single Family,3
522,Mecklenburg County 13 (NC), Single Family,3
523,Mecklenburg County 13 (NC), Single Family,3
524,Matthews, Single Family,3
525,Mecklenburg County 35 (NC), Single Family,0
526,Mecklenburg County 12 (NC), Condominium,4
527,Davidson, Single Family,3
528,Huntersville, Single Family,2
529,Mecklenburg County 22 (NC), Single Family,3
530,Mecklenburg County 27 (NC), Single Family,3
531,Mecklenburg County 29 (NC), Single Family,1
532,Mecklenburg County 29 (NC), Single Family,1
533,Mecklenburg County 29 (NC), Single Family,1
534,Mecklenburg County 34 (NC), Townhouse,1
535,Cornelius, Single Family,4
536,Mecklenburg County 27 (NC), Condominium,4
537,Mecklenburg County 27 (NC), Condominium,4
538,Mecklenburg County 27 (NC), Single Family,3
539,Mecklenburg County 19 (NC), Single Family,3
540,Mecklenburg County 14 (NC), Townhouse,1
541,Mint Hill, Single Family,3
542,Mecklenburg County 9 (NC), Single Family,3
543,Mecklenburg County 6 (NC), Single Family,3
544,Mecklenburg County 6 (NC), Single Family,3
545,Huntersville, Single Family,2
546,Mecklenburg County 34 (NC), Single Family,3
547,Mecklenburg County 6 (NC), Townhouse,1
548,Mecklenburg County 1 (NC), Condominium,4
549,Mecklenburg County 2 (NC), Condominium,4
550,Mecklenburg County 30 (NC), Condominium,4
551,Mecklenburg County 16 (NC), Single Family,3
552,Mecklenburg County 27 (NC), Single Family,3
553,Mecklenburg County 28 (NC), Single Family,3
554,Mecklenburg County 28 (NC), Single Family,3
555,Mecklenburg County 28 (NC), Townhouse,1
556,Matthews, Single Family,3
557,Mecklenburg County 23 (NC), Single Family,3
558,Mecklenburg County 29 (NC), Single Family,1
559,Mecklenburg County 34 (NC), Single Family,3
560,Mecklenburg County 34 (NC), Single Family,3
561,Mecklenburg County 17 (NC), Single Family,3
562,Mecklenburg County 21 (NC), Single Family,3
563,Davidson, Single Family,3
564,Davidson, Single Family,3
565,Davidson, Single Family,3
566,Davidson, Single Family,3
567,Davidson, Single Family,3
568,Davidson, Single Family,3
569,Davidson, Single Family,3
570,Davidson, Single Family,3
571,Mecklenburg County 18 (NC), Single Family,3
572,Mecklenburg County 18 (NC), Single Family,3
573,Mecklenburg County 2 (NC), Condominium,4
574,Mecklenburg County 29 (NC), Single Family,1
575,Mecklenburg County 29 (NC), Single Family,1
576,Mecklenburg County 13 (NC), Single Family,3
