,Stories,Bedrooms,Bathrooms,Housing_Type,Cluster
408,1.0,2.0,2.0, Condominium,3
409,1.0,1.0,1.0, Condominium,3
410,2.0,4.0,3.5, Single Family,0
411,2.0,3.0,2.5, Single Family,0
412,1.0,3.0,2.0, Single Family,1
413,2.0,3.0,2.5, Single Family,0
414,1.5,3.0,2.0, Single Family,1
415,1.0,4.0,3.0, Single Family,1
416,1.0,3.0,2.5, Single Family,1
417,2.0,4.0,2.5, Single Family,0
418,1.0,3.0,2.0, Single Family,1
419,1.0,3.0,2.0, Single Family,1
420,2.0,4.0,2.5, Single Family,0
421,1.0,3.0,2.0, Single Family,1
422,1.5,3.0,2.0, Single Family,1
423,1.0,2.0,1.0, Single Family,1
424,1.0,3.0,2.0, Single Family,1
425,1.0,3.0,2.0, Single Family,1
426,2.0,4.0,2.5, Single Family,0
427,2.0,4.0,3.0, Single Family,0
428,1.0,2.0,2.0, Townhouse,2
429,1.0,3.0,2.0, Single Family,1
430,2.0,2.0,2.5, Condominium,3
431,1.0,3.0,2.0, Single Family,1
432,2.0,3.0,2.5, Townhouse,2
433,2.0,2.0,2.5, Townhouse,2
434,1.5,4.0,3.5, Single Family,0
435,1.0,3.0,1.5, Single Family,1
436,2.0,4.0,2.5, Single Family,0
437,1.0,3.0,1.0, Single Family,1
438,1.0,3.0,2.0, Single Family,1
439,1.0,3.0,1.5, Single Family,1
440,1.0,3.0,1.5, Single Family,1
441,2.0,3.0,2.0, Single Family,0
442,2.0,2.0,1.5, Townhouse,2
443,2.0,3.0,2.5, Townhouse,2
444,2.0,3.0,2.0, Townhouse,2
445,2.0,3.0,2.5, Single Family,0
446,1.0,2.0,2.0, Condominium,3
447,2.0,4.0,2.5, Single Family,0
448,2.5,5.0,3.5, Single Family,0
449,2.0,4.0,2.5, Single Family,0
450,1.0,3.0,2.0, Single Family,1
451,2.0,4.0,2.5, Single Family,0
452,1.0,3.0,1.5, Single Family,1
453,1.0,3.0,2.0, Single Family,1
454,2.0,3.0,2.5, Townhouse,2
455,2.0,3.0,2.5, Single Family,0
456,1.5,4.0,2.5, Single Family,0
457,1.0,3.0,1.0, Single Family,1
