,Site_Zip,Housing_Type,Cluster
709,28269, Single Family,2
710,28216, Single Family,0
711,28226, Single Family,2
712,28211, Single Family,4
713,28207, Condominium,3
714,28078, Single Family,2
715,28269, Single Family,2
716,28277, Single Family,2
717,28277, Townhouse,0
718,28277, Townhouse,0
719,28277, Single Family,2
720,28277, Single Family,2
721,28214, Single Family,2
722,28227, Single Family,2
723,28227, Single Family,2
724,28215, Single Family,2
725,28226, Single Family,2
726,28277, Single Family,2
727,28277, Single Family,2
728,28277, Townhouse,0
729,28227, Single Family,2
730,28212, Condominium,3
731,28208, Single Family,2
732,28208, Single Family,2
733,28208, Single Family,2
734,28208, Single Family,2
735,28226, Condominium,3
736,28213, Single Family,2
737,28226, Single Family,2
738,28215, Single Family,2
739,28036, Single Family,2
740,28036, Single Family,2
741,28036, Single Family,2
742,28036, Single Family,2
743,28036, Single Family,2
744,28036, Single Family,2
745,28036, Single Family,2
746,28214, Single Family,2
747,28214, Single Family,2
748,28278, Single Family,2
749,28211, Single Family,4
750,28205, Single Family,2
751,28270, Single Family,2
752,28214, Single Family,2
753,28226, Single Family,2
754,28213, Single Family,2
755,28269, Single Family,2
756,28227, Single Family,2
757,28277, Condominium,3
758,28204, Single Family,2
759,28204, Single Family,2
760,28208, Single Family,2
761,28208, Single Family,2
762,28269, Townhouse,0
763,28269, Townhouse,0
764,28273, Townhouse,0
765,28210, Townhouse,3
766,28269, Single Family,2
767,28226, Single Family,2
768,28214, Townhouse,0
769,28214, Townhouse,0
770,28036, Single Family,2
771,28214, Single Family,2
772,28204, Condominium,3
773,28214, Single Family,2
774,28270, Single Family,2
775,28105, Single Family,2
776,28270, Single Family,2
777,28270, Single Family,2
778,28270, Single Family,2
779,28105, Single Family,2
780,28270, Single Family,2
781,28270, Single Family,2
782,28208, Single Family,2
783,28208, Single Family,2
784,28277, Condominium,3
785,28269, Single Family,2
786,28269, Single Family,2
787,28209, Single Family,2
788,28209, Single Family,2
789,28209, Single Family,2
790,28209, Single Family,2
791,28209, Single Family,2
792,28210, Single Family,3
793,28209, Single Family,2
794,28209, Single Family,2
795,28209, Single Family,2
796,28209, Single Family,2
797,28209, Single Family,2
798,28209, Condominium,3
799,28205, Condominium,3
800,28215, Single Family,2
801,28215, Single Family,2
802,28215, Single Family,2
803,28212, Single Family,2
804,28105, Single Family,2
805,28210, Townhouse,3
806,28210, Single Family,3
807,28031, Single Family,1
808,28262, Single Family,2
809,28078, Single Family,2
810,28078, Single Family,2
811,28078, Single Family,2
812,28078, Single Family,2
813,28227, Single Family,2
814,28211, Single Family,4
815,28202, Condominium,3
816,28031, Townhouse,1
817,28078, Single Family,2
818,28078, Single Family,2
819,28105, Single Family,2
820,28203, Condominium,3
821,28036, Condominium,3
822,28209, Single Family,2
823,28277, Townhouse,0
824,28273, Single Family,2
825,28273, Single Family,2
826,28277, Townhouse,0
827,28277, Townhouse,0
828,28277, Townhouse,0
829,28210, Condominium,3
830,28277, Single Family,2
831,28105, Single Family,2
832,28212, Condominium,3
833,28262, Single Family,2
834,28202, Condominium,3
835,28202, Condominium,3
836,28202, Condominium,3
837,28269, Single Family,2
838,28226, Townhouse,0
839,28226, Townhouse,0
840,28226, Townhouse,0
841,28202, Condominium,3
842,28213, Single Family,2
843,28273, Single Family,2
844,28226, Single Family,2
845,28210, Single Family,3
846,28210, Single Family,3
847,28210, Single Family,3
848,28210, Single Family,3
849,28206, Single Family,2
850,28273, Single Family,2
