Stories,Bedrooms,Bathrooms,Housing_Type,Site_Zip,Housing_Age
1,3,2, Single Family,28226,48
1,3,2, Single Family,28226,48
1,3,2, Single Family,28269,26
1,3,2, Single Family,28269,28
2,3,2, Single Family,28213,16
2,5,3, Single Family,28227,45
2,4,2, Single Family,28227,33
2,1,1, Condominium,28205,12
1,3,2, Single Family,28273,28
1,3,2, Condominium,28207,17
1,2,2, Condominium,28202,19
1,1,1, Condominium,28202,19
1,2,2, Condominium,28202,14
1,3,2, Single Family,28211,61
2,3,2, Single Family,28269,25
1,4,2, Single Family,28211,63
2,3,2, Single Family,28205,19
2,4,4, Single Family,28211,15
2,4,3, Single Family,28262,21
1,2,2, Condominium,28202,31
1,1,1, Condominium,28202,31
2,3,2, Single Family,28216,21
1,2,2, Condominium,28226,42
2,4,3, Single Family,28226,19
2,2,2, Condominium,28227,35
1,3,2, Single Family,28227,35
2,4,2, Single Family,28212,51
1,5,6, Single Family,28211,6
2,4,4, Single Family,28211,21
1,2,1, Condominium,28208,116
1,3,2, Single Family,28273,30
1,5,6, Single Family,28211,70
1,3,2, Single Family,28205,80
2,4,2, Single Family,28262,23
2,4,2, Single Family,28262,23
1,2,1, Single Family,28205,78
1,2,1, Single Family,28216,55
1,2,1, Single Family,28216,55
2,3,3, Single Family,28211,7
2,2,2, Condominium,28202,12
2,2,2, Condominium,28210,36
2,2,2, Condominium,28210,36
2,1,1, Condominium,28202,20
1,1,1, Condominium,28202,21
1,2,2, Single Family,28216,14
2,3,2, Single Family,28078,15
2,3,2, Single Family,28078,13
2,3,3, Single Family,28078,13
2,2,2, Single Family,28078,13
2,3,3, Townhouse,28078,14
2,5,4, Single Family,28078,26
2,4,3, Single Family,28226,32
2,4,3, Single Family,28226,33
2,3,2, Single Family,28215,22
1,3,1, Single Family,28208,61
2,4,3, Single Family,28134,19
2,3,2, Single Family,28216,15
2,2,2, Condominium,28212,24
2,2,2, Townhouse,28216,19
2,3,2, Townhouse,28270,10
2,3,2, Single Family,28031,17
1,3,2, Single Family,28269,22
2,3,2, Single Family,28269,21
2,3,2, Single Family,28269,19
1,3,1, Single Family,28208,98
1,3,2, Single Family,28078,19
2,3,2, Single Family,28078,18
2,4,3, Single Family,28277,23
2,9,7, Single Family,28277,27
2,4,2, Single Family,28226,48
2,3,2, Single Family,28226,48
2,4,2, Single Family,28226,52
1,2,1, Single Family,28206,68
1,2,1, Single Family,28206,66
1,2,1, Single Family,28206,72
2,3,2, Single Family,28216,17
1,3,2, Single Family,28205,58
1,3,2, Single Family,28205,59
2,3,2, Single Family,28215,53
2,4,2, Single Family,28270,34
2,4,2, Single Family,28270,37
2,3,3, Single Family,28078,19
1,3,2, Single Family,28206,30
2,3,2, Single Family,28278,18
1,2,1, Single Family,28209,71
2,3,2, Single Family,28273,22
1,2,1, Condominium,28207,73
1,4,2, Single Family,28209,71
2,3,2, Single Family,28105,28
1,3,2, Single Family,28105,29
1,3,2, Single Family,28078,21
1,2,2, Condominium,28031,26
2,4,2, Single Family,28273,20
2,4,2, Single Family,28273,19
2,3,2, Single Family,28273,19
2,3,2, Single Family,28273,12
2,3,2, Single Family,28273,13
2,3,2, Single Family,28273,13
2,3,2, Single Family,28273,16
2,3,2, Single Family,28273,13
2,3,2, Single Family,28273,13
2,3,2, Single Family,28273,13
2,3,2, Single Family,28273,14
2,3,2, Single Family,28273,13
2,3,2, Single Family,28273,13
2,4,2, Single Family,28216,20
1,2,1, Townhouse,28210,38
1,2,1, Single Family,28215,49
1,3,2, Single Family,28215,55
2,3,2, Single Family,28262,26
2,4,2, Single Family,28270,41
2,4,2, Single Family,28270,40
2,3,2, Single Family,28269,14
1,3,2, Single Family,28269,18
2,4,2, Single Family,28269,14
2,4,2, Single Family,28078,23
2,4,2, Single Family,28078,22
1,3,2, Single Family,28213,21
1,2,2, Condominium,28031,37
2,4,3, Townhouse,28031,8
1,3,2, Townhouse,28031,10
1,2,1, Condominium,28036,37
2,3,2, Single Family,28269,24
2,3,2, Single Family,28269,25
1,3,2, Single Family,28269,26
2,4,2, Single Family,28269,22
2,4,2, Single Family,28269,22
2,3,2, Single Family,28269,21
2,3,2, Single Family,28269,31
1,2,1, Single Family,28215,58
2,3,2, Single Family,28278,15
2,4,3, Single Family,28278,15
1,3,2, Single Family,28227,51
2,5,2, Single Family,28214,14
2,4,2, Single Family,28214,15
2,3,2, Single Family,28214,16
2,3,2, Single Family,28269,15
2,3,2, Single Family,28273,3
1,3,1, Single Family,28227,42
1,3,1, Single Family,28227,43
1,2,1, Single Family,28227,41
2,3,2, Single Family,28105,34
1,2,2, Condominium,28213,22
2,3,2, Townhouse,28215,28
1,1,1, Condominium,28210,40
2,2,1, Condominium,28210,41
2,4,3, Single Family,28270,37
2,3,2, Single Family,28078,22
1,3,2, Single Family,28031,16
2,3,2, Single Family,28031,15
2,3,2, Single Family,28031,18
2,3,2, Single Family,28031,16
2,3,2, Single Family,28031,17
2,3,2, Single Family,28031,20
2,3,2, Single Family,28031,20
1,3,2, Single Family,28031,16
1,4,3, Single Family,28270,52
1,3,2, Single Family,28270,48
2,4,2, Single Family,28270,47
2,3,2, Single Family,28269,31
