,Site_Zip,Stories,Sale_Price,Bedrooms,Housing_Type,Cluster
351,28202,1.0,210000,1.0, Condominium,1
352,28216,1.0,133500,2.0, Single Family,0
353,28078,2.0,286000,3.0, Single Family,0
354,28078,2.0,216000,2.0, Single Family,0
355,28078,2.0,338500,3.0, Townhouse,4
356,28226,2.0,640000,4.0, Single Family,0
357,28226,2.5,900000,4.0, Single Family,0
358,28215,2.0,250000,3.0, Single Family,0
359,28208,1.0,185000,3.0, Single Family,0
360,28134,2.0,354000,4.0, Single Family,0
361,28212,2.0,145000,2.0, Condominium,4
362,28216,2.0,160000,2.0, Townhouse,4
363,28031,2.0,333000,3.0, Single Family,0
364,28269,1.0,230000,3.0, Single Family,0
365,28269,2.0,221000,3.0, Single Family,0
366,28208,1.0,215000,3.0, Single Family,0
367,28277,2.0,562000,4.0, Single Family,0
368,28277,2.0,845000,9.0, Single Family,0
369,28226,2.0,565000,4.0, Single Family,0
370,28226,2.0,615000,3.0, Single Family,0
371,28226,2.0,531000,4.0, Single Family,0
372,28206,1.0,135000,2.0, Single Family,0
373,28216,2.0,197000,3.0, Single Family,0
374,28205,1.0,365000,3.0, Single Family,0
375,28205,1.0,215000,3.0, Single Family,0
376,28215,2.0,203000,3.0, Single Family,0
377,28270,2.0,340000,4.0, Single Family,0
378,28270,2.0,330000,4.0, Single Family,0
379,28078,2.0,360000,3.0, Single Family,0
380,28207,1.0,180000,2.0, Condominium,4
381,28105,1.0,187500,3.0, Single Family,0
382,28273,2.0,277000,3.0, Single Family,0
383,28273,2.0,259000,3.0, Single Family,0
384,28273,2.0,275000,3.0, Single Family,0
385,28273,2.0,265000,3.0, Single Family,0
386,28210,1.0,83500,2.0, Townhouse,4
387,28215,1.0,160000,2.0, Single Family,0
388,28270,2.0,330000,4.0, Single Family,0
389,28270,2.0,425000,4.0, Single Family,0
390,28269,2.0,276000,3.0, Single Family,0
391,28269,1.0,258000,3.0, Single Family,0
392,28269,2.0,237000,4.0, Single Family,0
393,28078,2.0,304500,4.0, Single Family,0
394,28078,2.0,346500,4.0, Single Family,0
395,28213,1.0,155000,3.0, Single Family,0
396,28031,1.0,320000,2.0, Condominium,4
397,28031,1.5,242500,3.0, Townhouse,4
398,28036,1.0,165000,2.0, Condominium,4
399,28269,2.0,267000,3.0, Single Family,0
400,28269,2.0,280000,3.0, Single Family,0
401,28269,1.5,243000,3.0, Single Family,0
402,28269,2.0,298500,4.0, Single Family,0
403,28269,2.0,306000,3.0, Single Family,0
404,28269,2.0,243500,3.0, Single Family,0
405,28214,2.0,255000,5.0, Single Family,0
406,28214,2.0,193000,4.0, Single Family,0
407,28214,2.0,150000,3.0, Single Family,0
408,28213,1.0,125000,2.0, Condominium,4
409,28210,1.0,121000,1.0, Condominium,4
410,28270,2.0,585000,4.0, Single Family,0
411,28078,2.0,286000,3.0, Single Family,0
412,28031,1.0,231000,3.0, Single Family,0
413,28031,2.0,223000,3.0, Single Family,0
414,28031,1.5,275000,3.0, Single Family,0
415,28270,1.0,345000,4.0, Single Family,0
416,28270,1.0,273000,3.0, Single Family,0
417,28270,2.0,290000,4.0, Single Family,0
418,28269,1.0,234000,3.0, Single Family,0
419,28269,1.0,240000,3.0, Single Family,0
420,28277,2.0,308000,4.0, Single Family,0
421,28227,1.0,205000,3.0, Single Family,3
422,28227,1.5,180000,3.0, Single Family,3
423,28227,1.0,145000,2.0, Single Family,3
424,28269,1.0,233000,3.0, Single Family,0
425,28269,1.0,210000,3.0, Single Family,0
426,28269,2.0,350000,4.0, Single Family,0
427,28269,2.0,372500,4.0, Single Family,0
428,28269,1.0,255000,2.0, Townhouse,4
429,28269,1.0,195000,3.0, Single Family,0
430,28209,2.0,295000,2.0, Condominium,4
431,28227,1.0,209000,3.0, Single Family,3
432,28216,2.0,180000,3.0, Townhouse,4
433,28216,2.0,160000,2.0, Townhouse,4
434,28205,1.5,663000,4.0, Single Family,0
435,28205,1.0,305000,3.0, Single Family,0
436,28205,2.0,625000,4.0, Single Family,0
437,28217,1.0,186000,3.0, Single Family,0
438,28273,1.0,257500,3.0, Single Family,0
439,28215,1.0,198000,3.0, Single Family,0
440,28215,1.0,170500,3.0, Single Family,0
441,28269,2.0,225000,3.0, Single Family,0
442,28269,2.0,127000,2.0, Townhouse,4
443,28269,2.0,147000,3.0, Townhouse,4
444,28269,2.0,174000,3.0, Townhouse,4
445,28213,2.0,150000,3.0, Single Family,0
446,28209,1.0,245000,2.0, Condominium,4
447,28262,2.0,276000,4.0, Single Family,0
448,28273,2.5,325000,5.0, Single Family,0
449,28210,2.0,396500,4.0, Single Family,0
450,28212,1.0,190000,3.0, Single Family,0
451,28212,2.0,220000,4.0, Single Family,0
452,28212,1.0,178900,3.0, Single Family,0
453,28212,1.0,185000,3.0, Single Family,0
454,28277,2.0,338000,3.0, Townhouse,4
455,28227,2.0,175000,3.0, Single Family,3
456,28078,1.5,320000,4.0, Single Family,0
457,28208,1.0,307000,3.0, Single Family,0
458,28270,2.0,1370000,4.0, Single Family,0
459,28216,1.0,233000,3.0, Single Family,0
460,28270,1.0,450000,3.0, Single Family,0
461,28205,1.0,395000,3.0, Single Family,0
